batch_idx,loss,accuracy,time_ms
1,0.894392,70.3125,633.65
2,0.722317,75.0000,496.57
3,0.944347,65.6250,481.76
4,0.803917,76.5625,530.46
5,1.084372,62.5000,475.42
6,0.688725,79.6875,543.45
7,0.730224,75.0000,499.55
8,0.578358,79.6875,490.62
9,1.073821,73.4375,562.33
10,0.877026,73.4375,499.99
11,0.691103,78.1250,531.21
12,0.976956,71.8750,512.17
13,0.634771,79.6875,496.89
14,0.741444,76.5625,534.03
15,0.734317,79.6875,491.72
16,0.918373,73.4375,489.03
17,0.802657,75.0000,568.31
18,1.043711,70.3125,506.34
19,1.040823,65.6250,515.77
20,0.953242,71.8750,511.28
21,0.788867,78.1250,524.50
22,0.805873,76.5625,532.02
23,1.231713,64.0625,501.48
24,0.819839,73.4375,487.20
25,0.615785,78.1250,513.65
26,1.310580,65.6250,477.29
27,0.833597,78.1250,524.82
28,0.799732,78.1250,608.03
29,0.913011,67.1875,517.36
30,0.667724,75.0000,639.50
31,1.011584,67.1875,470.27
32,1.178754,64.0625,539.68
33,0.862243,75.0000,490.52
34,0.584685,81.2500,481.97
35,0.713885,82.8125,519.60
36,0.877767,68.7500,486.72
37,0.621133,79.6875,480.68
38,0.677757,81.2500,568.02
39,1.111258,68.7500,477.81
40,0.692229,78.1250,509.89
41,0.647748,79.6875,575.04
42,0.839502,71.8750,479.86
43,0.883973,71.8750,564.30
44,0.863908,71.8750,497.57
45,0.722354,76.5625,487.67
46,0.751806,70.3125,533.98
47,0.865098,67.1875,499.23
48,0.358422,89.0625,509.57
49,0.788814,78.1250,486.26
50,0.809514,75.0000,536.44
51,0.813364,76.5625,543.02
52,0.492097,87.5000,493.35
53,0.760337,75.0000,498.31
54,1.062126,70.3125,540.15
55,0.887305,70.3125,520.09
56,0.758400,76.5625,534.37
57,1.024785,65.6250,491.33
58,0.898585,71.8750,487.21
59,0.863229,73.4375,555.34
60,0.544898,79.6875,478.06
61,0.661366,79.6875,494.56
62,0.633941,75.0000,501.76
63,0.898058,70.3125,489.28
64,0.945988,71.8750,508.09
65,0.761375,75.0000,481.54
66,0.794195,70.3125,491.54
67,0.579743,82.8125,568.87
68,0.993839,73.4375,495.72
69,0.587032,76.5625,482.50
70,0.850801,75.0000,521.49
71,0.929110,78.1250,488.70
72,0.665541,79.6875,523.37
73,0.882501,75.0000,542.51
74,0.923955,78.1250,475.81
75,1.054636,70.3125,516.00
76,0.945993,78.1250,495.83
77,0.735725,76.5625,484.32
78,0.777226,76.5625,520.62
79,0.758782,75.0000,480.93
80,0.902261,59.3750,510.76
81,0.990263,68.7500,564.04
82,0.807274,76.5625,506.42
83,0.705092,73.4375,510.78
84,0.766931,71.8750,498.33
85,0.907507,68.7500,482.42
86,0.893121,70.3125,499.16
87,0.686972,79.6875,470.12
88,0.835780,70.3125,516.81
89,0.555208,81.2500,509.68
90,0.883496,65.6250,496.25
91,0.719059,81.2500,534.62
92,0.437391,90.6250,510.00
93,0.874512,75.0000,495.44
94,0.981118,75.0000,547.88
95,0.618988,79.6875,499.52
96,0.638695,82.8125,523.80
97,0.881315,64.0625,556.58
98,0.622922,81.2500,491.76
99,1.012578,71.8750,535.94
100,0.888990,73.4375,521.23
101,0.680539,78.1250,563.65
102,0.754395,78.1250,489.15
103,0.727133,73.4375,474.01
104,1.236792,65.6250,531.14
105,0.937750,70.3125,495.81
106,0.723985,73.4375,512.39
107,0.709526,73.4375,552.22
108,0.999611,70.3125,550.01
109,0.575565,84.3750,523.68
110,0.707175,78.1250,667.45
111,0.694725,73.4375,499.54
112,0.912406,70.3125,531.91
113,0.894943,73.4375,480.75
114,0.962829,71.8750,512.54
115,0.648087,82.8125,503.29
116,1.096349,62.5000,485.24
117,0.973178,73.4375,555.80
118,0.828662,67.1875,491.95
119,0.748369,75.0000,487.22
120,0.935513,65.6250,539.15
121,0.986328,71.8750,472.57
122,0.805423,71.8750,550.04
123,0.518437,76.5625,571.29
124,0.706598,79.6875,514.96
125,0.833324,76.5625,563.04
126,0.601601,78.1250,472.69
127,0.782147,79.6875,506.51
128,0.790911,73.4375,528.92
129,0.876202,73.4375,472.44
130,1.039348,62.5000,523.44
131,0.798253,71.8750,480.78
132,0.523529,84.3750,494.49
133,0.670968,79.6875,541.61
134,0.659741,79.6875,492.41
135,0.953257,65.6250,540.31
136,0.819255,78.1250,515.54
137,0.787326,78.1250,481.00
138,0.759470,73.4375,539.16
139,0.709269,79.6875,485.00
140,0.684572,78.1250,499.54
141,1.064731,67.1875,536.95
142,0.724171,78.1250,480.83
143,0.604046,78.1250,492.84
144,1.048331,65.6250,516.90
145,0.789511,81.2500,484.17
146,0.516406,85.9375,503.13
147,0.586369,79.6875,584.67
148,1.002404,75.0000,489.68
149,0.567223,79.6875,562.18
150,0.956858,68.7500,482.80
151,0.857295,75.0000,480.24
152,0.829491,71.8750,525.20
153,0.719848,76.5625,480.20
154,0.641228,79.6875,514.59
155,0.720820,81.2500,502.86
156,1.367248,56.2500,474.25
157,0.806412,75.0000,535.98
158,0.719593,79.6875,482.07
159,0.693234,81.2500,494.62
160,0.817937,73.4375,563.98
161,0.833350,65.6250,496.67
162,0.567193,79.6875,557.03
163,0.830454,70.3125,501.83
164,0.672574,76.5625,476.69
165,0.671766,76.5625,534.50
166,0.925688,68.7500,475.56
167,0.831542,78.1250,473.74
168,0.907148,75.0000,539.43
169,0.881695,70.3125,540.58
170,0.858346,73.4375,507.52
171,0.780893,81.2500,499.82
172,0.476063,84.3750,477.75
173,0.697984,78.1250,527.35
174,0.607659,79.6875,474.50
175,0.777383,71.8750,585.57
176,0.778261,81.2500,551.47
177,0.956951,68.7500,510.10
178,0.795167,79.6875,545.05
179,0.703980,73.4375,511.04
180,0.865007,70.3125,499.48
181,0.475131,85.9375,614.49
182,0.878630,76.5625,491.70
183,0.892616,76.5625,506.82
184,0.819684,75.0000,497.86
185,0.979721,75.0000,496.53
186,0.739036,76.5625,542.66
187,0.775173,73.4375,498.12
188,0.650979,78.1250,525.93
189,0.767085,76.5625,526.41
190,0.831835,71.8750,557.03
191,0.848635,76.5625,601.67
192,1.094122,68.7500,497.27
193,0.606924,78.1250,519.16
194,0.704061,76.5625,527.16
195,0.810673,71.8750,480.63
196,0.692994,78.1250,520.44
197,0.756162,81.2500,494.22
198,0.803709,75.0000,478.07
199,0.701294,78.1250,532.36
200,0.971063,68.7500,490.15
201,0.600296,78.1250,470.85
202,0.741913,78.1250,551.61
203,1.027404,70.3125,488.81
204,0.598977,84.3750,549.00
205,0.661577,76.5625,525.52
206,0.624265,76.5625,527.61
207,0.572414,84.3750,546.34
208,0.847025,71.8750,491.67
209,0.856828,70.3125,503.64
210,0.781491,75.0000,576.61
211,0.667934,76.5625,481.80
212,0.653921,81.2500,522.46
213,0.829763,76.5625,493.42
214,0.973465,71.8750,472.89
215,0.946503,70.3125,612.03
216,0.779354,76.5625,499.64
217,0.725320,78.1250,486.58
218,0.877764,79.6875,509.91
219,0.934304,67.1875,532.81
220,0.737572,71.8750,517.90
221,0.705492,79.6875,502.56
222,0.656643,79.6875,487.79
223,0.600751,79.6875,534.11
224,0.793694,78.1250,482.44
225,0.790725,79.6875,478.17
226,0.555645,81.2500,518.76
