batch_idx,loss,accuracy,time_ms
1,0.043051,98.4375,522.30
2,0.065367,98.4375,580.02
3,0.055389,96.8750,522.79
4,0.068984,98.4375,579.35
5,0.110508,95.3125,524.11
6,0.042690,98.4375,615.89
7,0.082229,95.3125,519.14
8,0.094451,95.3125,665.90
9,0.076665,96.8750,517.79
10,0.093807,95.3125,641.43
11,0.027624,100.0000,520.95
12,0.085156,95.3125,632.15
13,0.052306,96.8750,519.45
14,0.022140,100.0000,603.39
15,0.004915,100.0000,523.84
16,0.083942,95.3125,614.46
17,0.064419,98.4375,550.83
18,0.025369,100.0000,619.64
19,0.114014,95.3125,521.45
20,0.130042,93.7500,618.31
21,0.189586,93.7500,525.21
22,0.028757,100.0000,620.18
23,0.017013,100.0000,535.04
24,0.115323,92.1875,617.65
25,0.013684,100.0000,519.88
26,0.011768,100.0000,606.69
27,0.022468,98.4375,528.66
28,0.034043,98.4375,565.81
29,0.072938,96.8750,550.37
30,0.075562,96.8750,588.53
31,0.035879,98.4375,521.31
32,0.107184,98.4375,516.44
33,0.087481,93.7500,628.91
34,0.040477,98.4375,544.13
35,0.100799,95.3125,617.70
36,0.026418,100.0000,587.00
37,0.087247,96.8750,523.46
38,0.060276,96.8750,585.36
39,0.082446,96.8750,535.17
40,0.021706,98.4375,594.79
41,0.086764,93.7500,526.69
42,0.041240,98.4375,544.49
43,0.111314,95.3125,583.57
44,0.044097,98.4375,523.52
45,0.065743,98.4375,678.71
46,0.102096,95.3125,522.95
47,0.116941,95.3125,618.96
48,0.078866,95.3125,521.99
49,0.113962,95.3125,574.50
50,0.065477,98.4375,563.97
51,0.044724,98.4375,566.73
52,0.066394,96.8750,565.09
53,0.118108,93.7500,527.49
54,0.105576,93.7500,650.84
55,0.090374,95.3125,519.33
56,0.058574,98.4375,586.76
57,0.062444,98.4375,523.46
58,0.028403,100.0000,588.39
59,0.045109,98.4375,546.91
60,0.086750,95.3125,515.37
61,0.029826,100.0000,628.80
62,0.078534,96.8750,498.51
63,0.015435,100.0000,593.62
64,0.058894,98.4375,507.10
65,0.028662,98.4375,545.73
66,0.024513,100.0000,546.75
67,0.077298,96.8750,507.49
68,0.054787,98.4375,607.78
69,0.023217,100.0000,498.98
70,0.046574,98.4375,601.12
71,0.028224,98.4375,499.63
72,0.020723,100.0000,587.09
73,0.142186,95.3125,501.78
74,0.022844,100.0000,519.95
75,0.020895,100.0000,593.50
76,0.101253,96.8750,523.54
77,0.058996,96.8750,601.98
78,0.139592,95.3125,517.97
79,0.084011,96.8750,598.27
80,0.090778,96.8750,503.83
81,0.073164,98.4375,562.83
82,0.086581,93.7500,502.98
83,0.086329,95.3125,508.54
84,0.042774,98.4375,624.59
85,0.085081,95.3125,502.60
86,0.124807,96.8750,587.42
87,0.039847,98.4375,503.72
88,0.016479,100.0000,565.22
89,0.012357,100.0000,508.14
90,0.035334,100.0000,513.24
91,0.055496,96.8750,634.71
92,0.004720,100.0000,508.63
93,0.058355,98.4375,585.36
94,0.038610,98.4375,510.01
95,0.039168,98.4375,555.87
96,0.041620,98.4375,531.72
97,0.089228,95.3125,560.11
98,0.088684,95.3125,501.96
99,0.025983,100.0000,510.81
100,0.011427,100.0000,610.50
101,0.046449,98.4375,507.55
102,0.023945,98.4375,657.45
103,0.139465,95.3125,502.94
104,0.074982,95.3125,610.02
105,0.019312,98.4375,507.07
106,0.031768,98.4375,657.65
107,0.059801,96.8750,502.55
108,0.031026,100.0000,568.94
109,0.072947,95.3125,497.71
110,0.093994,96.8750,594.56
111,0.102262,95.3125,525.77
112,0.079178,96.8750,584.43
113,0.064443,96.8750,505.09
114,0.050418,96.8750,558.77
115,0.071446,96.8750,512.96
116,0.117058,95.3125,586.42
117,0.030859,100.0000,521.87
118,0.126893,93.7500,557.92
119,0.084428,96.8750,522.07
120,0.058217,96.8750,497.41
121,0.022882,98.4375,593.28
122,0.062803,96.8750,498.25
123,0.024757,98.4375,550.51
124,0.081355,95.3125,561.42
125,0.077176,96.8750,510.44
126,0.068565,96.8750,592.59
127,0.065433,98.4375,505.06
128,0.074183,96.8750,500.56
129,0.084282,96.8750,645.66
130,0.092162,95.3125,509.07
131,0.075663,96.8750,640.27
132,0.053698,98.4375,505.92
133,0.021914,100.0000,610.06
134,0.030636,98.4375,500.93
135,0.120934,95.3125,564.60
136,0.077419,96.8750,512.74
137,0.116461,95.3125,502.72
138,0.169784,93.7500,611.28
139,0.046798,96.8750,505.50
140,0.036250,98.4375,643.99
141,0.062103,96.8750,501.59
142,0.064161,98.4375,637.07
143,0.010348,100.0000,504.20
144,0.002354,100.0000,654.82
145,0.135447,95.3125,499.68
146,0.048405,98.4375,579.80
147,0.075170,95.3125,500.23
148,0.074022,96.8750,589.49
149,0.090718,95.3125,497.97
150,0.117253,95.3125,559.22
151,0.104153,96.8750,518.90
152,0.069630,98.4375,554.36
153,0.059874,96.8750,550.63
154,0.088052,96.8750,502.27
155,0.035390,98.4375,617.42
156,0.083725,95.3125,507.70
157,0.064395,96.8750,648.39
158,0.038534,98.4375,495.12
159,0.042408,98.4375,538.81
160,0.071862,96.8750,551.69
161,0.062316,96.8750,501.83
162,0.063369,96.8750,641.89
163,0.084896,96.8750,516.66
164,0.028553,98.4375,605.34
165,0.043494,96.8750,503.79
166,0.035696,98.4375,567.69
167,0.167232,93.7500,501.75
168,0.075791,98.4375,501.47
169,0.008740,100.0000,647.97
170,0.165901,93.7500,498.25
171,0.085410,96.8750,546.99
172,0.011149,100.0000,527.31
173,0.068449,96.8750,499.58
174,0.114151,96.8750,627.58
175,0.025318,98.4375,503.00
176,0.020917,98.4375,624.73
177,0.072834,98.4375,504.38
178,0.125081,95.3125,639.25
179,0.076826,95.3125,503.81
180,0.080577,95.3125,524.97
181,0.017973,100.0000,570.98
182,0.089762,96.8750,561.79
183,0.054669,98.4375,528.32
184,0.099416,96.8750,501.38
185,0.035483,98.4375,640.72
186,0.043139,100.0000,502.05
187,0.154397,93.7500,621.79
188,0.085911,95.3125,507.27
189,0.015315,100.0000,503.20
190,0.134989,96.8750,606.23
191,0.044721,98.4375,498.36
192,0.310201,90.6250,561.40
193,0.015952,100.0000,494.79
194,0.048055,98.4375,524.74
195,0.063856,98.4375,566.90
196,0.087319,96.8750,501.99
197,0.075741,98.4375,596.88
198,0.067372,96.8750,506.45
199,0.186105,95.3125,582.07
200,0.051382,96.8750,503.93
201,0.100477,95.3125,556.69
202,0.014309,100.0000,524.65
203,0.045846,98.4375,502.52
204,0.085370,96.8750,601.36
205,0.094377,95.3125,505.96
206,0.041091,96.8750,590.43
207,0.054857,96.8750,503.81
208,0.067782,96.8750,560.59
209,0.078439,96.8750,545.15
210,0.103924,95.3125,500.41
211,0.151539,95.3125,636.85
212,0.075072,96.8750,501.33
213,0.069245,98.4375,607.50
214,0.012418,100.0000,504.07
215,0.077681,96.8750,575.80
216,0.031409,100.0000,503.86
217,0.090040,93.7500,500.69
218,0.049916,98.4375,591.25
219,0.015911,100.0000,501.10
220,0.029331,98.4375,507.87
221,0.024707,98.4375,604.38
222,0.113688,96.8750,509.31
223,0.066774,96.8750,592.45
224,0.045130,98.4375,496.15
225,0.053121,98.4375,650.61
226,0.066416,96.8750,496.12
227,0.067016,96.8750,586.97
228,0.080933,95.3125,498.20
229,0.043055,98.4375,568.06
230,0.021033,98.4375,518.14
231,0.037210,98.4375,524.50
232,0.082827,96.8750,558.84
233,0.052889,98.4375,499.41
234,0.026999,98.4375,613.78
235,0.038116,98.4375,553.56
236,0.083491,96.8750,562.09
237,0.104579,95.3125,543.72
238,0.128424,92.1875,535.67
239,0.051773,96.8750,497.33
240,0.042879,98.4375,669.54
241,0.094616,98.4375,498.73
242,0.087897,98.4375,560.42
243,0.060142,96.8750,500.63
244,0.040673,98.4375,502.09
245,0.077986,96.8750,645.94
246,0.080004,96.8750,493.49
247,0.106916,95.3125,597.99
248,0.062143,98.4375,498.19
249,0.050538,98.4375,626.91
250,0.033869,98.4375,499.73
251,0.045132,96.8750,574.07
252,0.054504,96.8750,500.50
253,0.088041,95.3125,513.78
254,0.074278,98.4375,596.80
255,0.129257,93.7500,535.21
256,0.161380,92.1875,564.28
257,0.034270,98.4375,504.62
258,0.027764,100.0000,628.01
259,0.057682,96.8750,501.08
260,0.053867,96.8750,618.82
261,0.018037,100.0000,525.60
262,0.031800,100.0000,582.85
263,0.028921,100.0000,519.87
264,0.176343,95.3125,592.11
265,0.054078,98.4375,505.95
266,0.017438,100.0000,602.72
267,0.039730,98.4375,508.72
268,0.060282,96.8750,497.90
269,0.042060,98.4375,628.22
270,0.025210,98.4375,495.15
271,0.062188,98.4375,563.53
272,0.032626,98.4375,557.82
273,0.051322,98.4375,500.97
274,0.082819,96.8750,603.57
275,0.021775,100.0000,496.77
276,0.034496,98.4375,657.69
277,0.081120,96.8750,502.47
278,0.053922,100.0000,610.28
279,0.055055,98.4375,505.58
280,0.099059,96.8750,622.44
281,0.273624,90.6250,500.95
282,0.192963,96.8750,587.33
283,0.080346,98.4375,522.18
284,0.069915,96.8750,555.47
285,0.076126,96.8750,496.06
286,0.069740,96.8750,499.52
287,0.021296,98.4375,662.53
288,0.063073,98.4375,498.59
289,0.121772,95.3125,602.38
290,0.042902,98.4375,521.48
291,0.060786,96.8750,598.14
292,0.063111,96.8750,504.13
293,0.066192,98.4375,604.36
